,Make,Model,Speed [kts],Speed [mph],GPH,NMPG,MPG,Engine,Source,Seats,Seat NMPG
25,Mooney,Mooney M20J,103,,5.6,18.392857142857100,,,POH,4,73.5714285714284
0,DarkAero,DarkAero 1,238.9684,275,11,21.7244,,,Projected,2,43.4488
1,DarkAero,DarkAero 1,221.58888,255,8,27.69861,,,Projected,2,55.39722
0,Lancair,Lancair Legacy RG,200,,9.8,20.408163265306100,,,Pi In the Ski,2,40.8163265306122
1,Lancair,Lancair Legacy RG,220,,11.0,20.0,,,Pi In the Ski,2,40
2,Lancair,Lancair Legacy RG,230,,13.0,17.692307692307700,,,Pi In the Ski,2,35.3846153846154
0,Lancair,Lancair LX-7,250,,17.0,14.70588,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ,4,58.82352
1,Lancair,Lancair LX-7,260,,24.0,10.83333,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ,4,43.33332
2,Lancair,Lancair LX-7,235,,17.0,13.823534,,,https://www.youtube.com/watch?v=BttLLRzk82M,4,55.294136
3,Lancair,Lancair LX-7,242,,17.0,14.235294,,,https://www.youtube.com/watch?v=BttLLRzk82M,4,56.941176
0,Lancair,Lancair Legacy RG,226,,15.5,14.6,,,Sample POH,2,29.2
0,Lancair,Lancair Legacy RG,222,,14.9,14.9,,,Sample POH,2,29.8
0,Lancair,Lancair Legacy RG,218,,14,15.6,,,Sample POH,2,31.2
0,Lancair,Lancair Legacy RG,210,,12.8,16.4,,,Sample POH,2,32.8
0,Lancair,Lancair Legacy RG,207,,12.3,16.8,,,Sample POH,2,33.6
0,Lancair,Lancair Legacy RG,194,,11.2,17.3,,,Sample POH,2,34.6
0,Lancair,Lancair Legacy RG,184,,11,17.6,,,Sample POH,2,35.2
0,Lancair,Lancair Legacy RG,172,,9.4,18.3,,,Sample POH,2,36.6
0,Lancair,Lancair Legacy RG,169,,9.2,18.4,,,Sample POH,2,36.8
0,Lancair,Lancair Legacy RG,152,,7.9,19.2,,,Sample POH,2,38.4
0,Lancair,Lancair Legacy RG,148,,7.8,19,,,Sample POH,2,38
0,Lancair,Lancair Legacy RG,220,,14.2,15.5,,,Sample POH,2,31
0,Lancair,Lancair Legacy RG,217,,13.6,15.9,,,Sample POH,2,31.8
0,Lancair,Lancair Legacy RG,203,,12,16,,,Sample POH,2,32
0,Lancair,Lancair Legacy RG,202,,11.5,16.9,,,Sample POH,2,33.8
0,Lancair,Lancair Legacy RG,181,,10.1,17.9,,,Sample POH,2,35.8
0,Lancair,Lancair Legacy RG,178,,9.8,18.2,,,Sample POH,2,36.4
0,Lancair,Lancair Legacy RG,163,,8.5,19.2,,,Sample POH,2,38.4
0,Lancair,Lancair Legacy RG,164,,8.3,19.8,,,Sample POH,2,39.6
0,Lancair,Lancair Legacy RG,164,,8.2,20,,,Sample POH,2,40
0,Lancair,Lancair Legacy RG,164,,8.1,20.2,,,Sample POH,2,40.4
0,Lancair,Lancair Legacy RG,164,,8,20.5,,,Sample POH,2,41
0,Lancair,Lancair Legacy RG,220,,13.2,16.6,,,Sample POH,2,33.2
0,Lancair,Lancair Legacy RG,215,,12.6,17.1,,,Sample POH,2,34.2
0,Lancair,Lancair Legacy RG,214,,11,19.4,,,Sample POH,2,38.8
0,Lancair,Lancair Legacy RG,216,,11.4,18.9,,,Sample POH,2,37.8
0,Lancair,Lancair Legacy RG,183,,9.5,19.3,,,Sample POH,2,38.6
0,Lancair,Lancair Legacy RG,179,,9.4,19,,,Sample POH,2,38
0,Lancair,Lancair Legacy RG,172,,8.2,21,,,Sample POH,2,42
0,Lancair,Lancair Legacy RG,166,,8.2,20.2,,,Sample POH,2,40.4
0,Lancair,Lancair Legacy RG,217,,12.2,17.8,,,Sample POH,2,35.6
0,Lancair,Lancair Legacy RG,214,,11.6,18.4,,,Sample POH,2,36.8
0,Lancair,Lancair Legacy RG,195,,10.2,19.1,,,Sample POH,2,38.2
0,Lancair,Lancair Legacy RG,192,,9.7,19.8,,,Sample POH,2,39.6
0,Lancair,Lancair Legacy RG,180,,8.7,20.6,,,Sample POH,2,41.2
0,Lancair,Lancair Legacy RG,177,,8.5,20.8,,,Sample POH,2,41.6
0,Lancair,Lancair Legacy RG,208,,11.5,18.1,,,Sample POH,2,36.2
0,Lancair,Lancair Legacy RG,206,,11,18.7,,,Sample POH,2,37.4
0,Lancair,Lancair Legacy RG,185,,9.4,19.7,,,Sample POH,2,39.4
0,Lancair,Lancair Legacy RG,185,,9.3,19.9,,,Sample POH,2,39.8
0,Lancair,Lancair Legacy RG,171,,8.2,20.9,,,Sample POH,2,41.8
0,Lancair,Lancair Legacy RG,170,,8,20.8,,,Sample POH,2,41.6
0,Lancair,Lancair Legacy RG,208,,11.5,18.1,,,Sample POH,2,36.2
